分类,代码,名称,仓位,相关指数,指数代码,申购费,申购状态,赎回费,赎回状态
指数LOF,161716,招商双债LOF,95%,,-,0.80%,开放申购,1.50%,
指数LOF,168204,煤炭LOF,95%,中证煤炭,399998,0,开放申购,1.50%,
指数LOF,501089,消费红利增强LOF,95%,消费红利,H30094,1.20%,开放申购,1.50%,
指数LOF,160706,沪深300LOF,95%,沪深300,399300,1.50%,开放申购,1.50%,
指数LOF,501050,50AHLOF,95%,上证50优选,950090,1.50%,开放申购,1.50%,
指数LOF,161812,深证100LOF,95%,深证100,399330,1.20%,开放申购,1.50%,
指数LOF,501227,泓德红利优选LOF,90%,中证红利,000922,1.50%,开放申购,1.50%,
指数LOF,161227,国投深证100LOF,95%,深证100,399330,1.20%,开放申购,1.50%,
指数LOF,163109,申万深成LOF,95%,深证成指,399001,1.20%,开放申购,1.50%,
指数LOF,161032,煤炭龙头LOF,95%,中证煤炭,399998,0,开放申购,1.50%,
指数LOF,501043,沪深300LOF,95%,沪深300,399300,0.80%,开放申购,1.50%,
指数LOF,161715,大宗商品LOF,95%,大宗商品,000979,1.20%,开放申购,1.50%,
指数LOF,161631,人工智能LOF,95%,CS人工智能,930713,1.20%,开放申购,1.50%,
指数LOF,160225,新能源汽车LOF,95%,新能源车,399417,0.00%,开放申购,1.50%,
指数LOF,160643,空天军工LOF,95%,空天军工,930875,1.20%,开放申购,1.50%,
指数LOF,501007,互联网医疗LOF,95%,CS互联网医疗,930720,0.80%,开放申购,1.50%,
指数LOF,501058,新能源车LOFC,95%,新能源车,930997,0,开放申购,1.50%,
指数LOF,160925,沪深300LOF,95%,中华沪深300,CES300,1.20%,开放申购,1.50%,
指数LOF,163407,兴全沪深300LOF,95%,沪深300,399300,1.20%,开放申购,1.50%,
指数LOF,162412,医疗基金LOF,95%,中证医疗,399989,1.20%,开放申购,1.50%,
指数LOF,163113,申万证券LOF,95%,CSSW证券,399707,1.20%,开放申购,1.50%,
指数LOF,501057,新能源车LOF,95%,新能源车,930997,1.20%,开放申购,1.50%,
指数LOF,160639,高铁LOF,95%,高铁产业,399807,0,开放申购,1.50%,
指数LOF,161217,国投资源LOF,95%,中证上游,000961,1.20%,开放申购,1.50%,
指数LOF,502000,500增强LOF,95%,中证500,000905,1.00%,开放申购,1.50%,
指数LOF,160632,酒LOF,95%,中证酒,399987,0,开放申购,1.50%,
指数LOF,161726,生物医药LOF,95%,生物医药,399441,1.00%,开放申购,1.50%,
指数LOF,167301,保险主题LOF,95%,保险主题,399809,0.80%,开放申购,1.50%,
指数LOF,161725,白酒基金LOF,95%,中证白酒,399997,1.00%,开放申购,1.50%,
T+0 QDII 欧美,164824,印度基金LOF,95%,印度EFP指数,int_india,1.20%,开放申购,1.50%,
T+0 QDII 欧美,501312,海外科技LOF,95%,海外科技,int_us,,,
T+0 QDII 欧美,160140,美国REIT精选LOF,95%,道琼斯美国精选REIT指数,DWRTF,1.20%,开放申购,1.50%,
T+0 QDII 欧美,162415,美国消费LOF,95%,标普可选消费品精选版块指数,IXY.SPI,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,160125,南方香港LOF,95%,恒生指数,-,1.30%,开放申购,1.50%,
T+0 QDII 欧美,161127,标普生物科技LOF,95%,标普生物科技精选行业指数,SPSIBI.SPI,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,161125,标普500LOF,95%,标普500,inx_sp500,1.20%,暂停申购,1.50%
T+0 QDII 欧美,161126,标普医疗保健LOF,95%,标普500医疗保健等权重指数,inx_spxv,1.20%,暂停申购,1.50%,
T+0 QDII 欧美,501225,全球芯片LOF,95%,全球芯片,int_sox,1.50%,暂停申购,1.50%
T+0 QDII 欧美,161128,标普信息科技LOF,95%,标普500信息科技指数,inx_spxl,1.20%,暂停申购,1.50%
T+0 QDII 欧美,161130,纳斯达克100LOF,95%,纳斯达克100,NDX.GI,1.20%,暂停申购,1.50%
T+0 QDII 欧美,501300,美元债LOF,95%,美国债券综合指数,AGG,0.95%,开放申购,1.50%,
T+0 QDII 欧美,160644,港股互联网LOF,95%,中证海外中国互联网指数,H11136.CSI,1.77%,开放申购,1.50%,
T+0 QDII 欧美,164906,中概互联网LOF,95%,中证海外中国互联网指数,H11136.CSI,1.20%,开放申购,1.50%,
T+0 QDII 亚洲,160322,港股精选LOF,95%,恒生综指,HSCI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501310,价值基金LOF,95%,标普中国价值,spchval,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501305,港股高股息LOF,95%,港股通高股息,930914,1.50%,开放申购,1.50%,
T+0 QDII 亚洲,501303,恒生中型股LOF,95%,恒生综合中型股,HSMI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501302,恒生指数基金LOF,95%,恒生指数,HSI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,160924,恒生指数LOF,95%,恒生指数,HSI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,164705,恒生LOF,95%,恒生指数,HSI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501021,香港中小LOF,95%,香港中小,HSMCI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501306,港股高股息LOFC,95%,港股通高股息,930914,1.20%,开放申购,1.50%,
T+0 QDII 亚洲,161831,恒生国企LOF,95%,恒生中国企业,HSCEI,1.20%,开放申购,1.50%,
T+0 QDII 亚洲,501307,银华高股息LOF,95%,SHS高股息,930917,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501301,香港大盘LOF,95%,恒生中国30,HSCCI,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,160717,H股LOF,95%,恒生中国企业,HSCEI,1.20%,开放申购,1.50%,
T+0 QDII 亚洲,501311,新经济港股通LOF,95%,恒生港股通新经济,HSSCNE,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,501025,香港银行LOF,95%,HK银行,000869,1.00%,开放申购,1.50%,
T+0 QDII 亚洲,161124,港股小盘LOF,95%,恒生小型股,HSSI,1.20%,开放申购,1.50%,